Zone Name,Suburb Name,Suburb Postcode,Arrival day from dispatch,Delivery Fee,Free Delivery for Over $
Sydney Metro,FOREST LODGE,2037,Tuesday & Friday,$10,$100
Sydney Metro,GLEBE,2037,Tuesday & Friday,$10,$100
Sydney Metro,ANNANDALE,2038,Tuesday & Friday,$10,$100
Sydney Metro,ROZELLE,2039,Tuesday & Friday,$10,$100
Sydney Metro,LEICHHARDT,2040,Tuesday & Friday,$10,$100
Sydney Metro,LILYFIELD,2040,Tuesday & Friday,$10,$100
Sydney Metro,BALMAIN,2041,Tuesday & Friday,$10,$100
Sydney Metro,BALMAIN EAST,2041,Tuesday & Friday,$10,$100
Sydney Metro,BIRCHGROVE,2041,Tuesday & Friday,$10,$100
Sydney Metro,ENMORE,2042,Tuesday & Friday,$10,$100
Sydney Metro,NEWTOWN,2042,Tuesday & Friday,$10,$100
Sydney Metro,ERSKINEVILLE,2043,Tuesday & Friday,$10,$100
Sydney Metro,SAINT PETERS,2044,Tuesday & Friday,$10,$100
Sydney Metro,ST PETERS,2044,Tuesday & Friday,$10,$100
Sydney Metro,SYDENHAM,2044,Tuesday & Friday,$10,$100
Sydney Metro,TEMPE,2044,Tuesday & Friday,$10,$100
Sydney Metro,HABERFIELD,2045,Tuesday & Friday,$10,$100
Sydney Metro,ABBOTSFORD,2046,Tuesday & Friday,$10,$100
Sydney Metro,CANADA BAY,2046,Tuesday & Friday,$10,$100
Sydney Metro,CHISWICK,2046,Tuesday & Friday,$10,$100
Sydney Metro,FIVE DOCK,2046,Tuesday & Friday,$10,$100
Sydney Metro,RODD POINT,2046,Tuesday & Friday,$10,$100
Sydney Metro,RUSSELL LEA,2046,Tuesday & Friday,$10,$100
Sydney Metro,WAREEMBA,2046,Tuesday & Friday,$10,$100
Sydney Metro,DRUMMOYNE,2047,Tuesday & Friday,$10,$100
Sydney Metro,STANMORE,2048,Tuesday & Friday,$10,$100
Sydney Metro,WESTGATE,2048,Tuesday & Friday,$10,$100
Sydney Metro,LEWISHAM,2049,Tuesday & Friday,$10,$100
Sydney Metro,PETERSHAM,2049,Tuesday & Friday,$10,$100
Sydney Metro,PETERSHAM NORTH,2049,Tuesday & Friday,$10,$100
Sydney Metro,CAMPERDOWN,2050,Tuesday & Friday,$10,$100
Sydney Metro,MISSENDEN ROAD,2050,Tuesday & Friday,$10,$100
Sydney Metro,KENSINGTON,2052,Tuesday & Friday,$10,$100
Sydney Metro,UNSW SYDNEY,2052,Tuesday & Friday,$10,$100
Sydney Metro,HMAS PLATYPUS,2060,Tuesday & Friday,$10,$100
Sydney Metro,HMAS WATERHEN,2060,Tuesday & Friday,$10,$100
Sydney Metro,LAVENDER BAY,2060,Tuesday & Friday,$10,$100
Sydney Metro,MCMAHONS POINT,2060,Tuesday & Friday,$10,$100
Sydney Metro,NORTH SYDNEY,2060,Tuesday & Friday,$10,$100
Sydney Metro,NORTH SYDNEY SHOPPINGWORLD,2060,Tuesday & Friday,$10,$100
Sydney Metro,WAVERTON,2060,Tuesday & Friday,$10,$100
Sydney Metro,KIRRIBILLI,2061,Tuesday & Friday,$10,$100
Sydney Metro,MILSONS POINT,2061,Tuesday & Friday,$10,$100
Sydney Metro,CAMMERAY,2062,Tuesday & Friday,$10,$100
Sydney Metro,NORTHBRIDGE,2063,Tuesday & Friday,$10,$100
Sydney Metro,ARTARMON,2064,Tuesday & Friday,$10,$100
Sydney Metro,CROWS NEST,2065,Tuesday & Friday,$10,$100
Sydney Metro,GREENWICH,2065,Tuesday & Friday,$10,$100
Sydney Metro,NAREMBURN,2065,Tuesday & Friday,$10,$100
Sydney Metro,ROYAL NORTH SHORE HOSPITAL,2065,Tuesday & Friday,$10,$100
Sydney Metro,ST LEONARDS,2065,Tuesday & Friday,$10,$100
Sydney Metro,WOLLSTONECRAFT,2065,Tuesday & Friday,$10,$100
Sydney Metro,LANE COVE,2066,Tuesday & Friday,$10,$100
Sydney Metro,LANE COVE NORTH,2066,Tuesday & Friday,$10,$100
Sydney Metro,LANE COVE WEST,2066,Tuesday & Friday,$10,$100
Sydney Metro,LINLEY POINT,2066,Tuesday & Friday,$10,$100
Sydney Metro,LONGUEVILLE,2066,Tuesday & Friday,$10,$100
Sydney Metro,NORTHWOOD,2066,Tuesday & Friday,$10,$100
Sydney Metro,RIVERVIEW,2066,Tuesday & Friday,$10,$100
Sydney Metro,CHATSWOOD,2067,Tuesday & Friday,$10,$100
Sydney Metro,CHATSWOOD WEST,2067,Tuesday & Friday,$10,$100
